shipment_id,order_id,order_date,shipping_date,mode_id,region_id,scheduled_days,real_days,delay_days,is_late,is_on_time,sales,delivery_status
180517,77202,2018-01-31,2018-02-03,4,17,4,3,0,0,1,327.75,Advance shipping
179254,75939,2018-01-13,2018-01-18,4,16,4,5,1,1,0,327.75,Late delivery
179253,75938,2018-01-13,2018-01-17,4,16,4,4,0,0,1,327.75,Shipping on time
179252,75937,2018-01-13,2018-01-16,4,15,4,3,0,0,1,327.75,Advance shipping
179251,75936,2018-01-13,2018-01-15,4,15,4,2,0,0,1,327.75,Advance shipping
179250,75935,2018-01-13,2018-01-19,4,15,4,6,2,0,1,327.75,Shipping canceled
179249,75934,2018-01-13,2018-01-15,1,14,1,2,1,1,0,327.75,Late delivery
179248,75933,2018-01-13,2018-01-15,1,14,1,2,1,1,0,327.75,Late delivery
179247,75932,2018-01-13,2018-01-16,3,14,2,3,1,1,0,327.75,Late delivery
179246,75931,2018-01-13,2018-01-15,1,14,1,2,1,1,0,327.75,Late delivery
179245,75930,2018-01-13,2018-01-19,3,14,2,6,4,0,1,327.75,Shipping canceled
179244,75929,2018-01-13,2018-01-18,3,17,2,5,3,1,0,327.75,Late delivery
179243,75928,2018-01-13,2018-01-17,3,17,2,4,2,1,0,327.75,Late delivery
179242,75927,2018-01-13,2018-01-15,1,16,1,2,1,1,0,327.75,Late delivery
179241,75926,2018-01-13,2018-01-15,1,16,1,2,1,1,0,327.75,Late delivery
179240,75925,2018-01-13,2018-01-15,1,16,1,2,1,1,0,327.75,Late delivery
179239,75924,2018-01-13,2018-01-18,3,14,2,5,3,1,0,327.75,Late delivery
179238,75923,2018-01-13,2018-01-15,1,16,1,2,1,1,0,327.75,Late delivery
179237,75922,2018-01-13,2018-01-15,1,16,1,2,1,1,0,327.75,Late delivery
179236,75921,2018-01-13,2018-01-13,2,16,0,0,0,0,1,327.75,Shipping on time
179235,75920,2018-01-13,2018-01-13,2,16,0,0,0,0,1,327.75,Shipping on time
179234,75919,2018-01-13,2018-01-18,4,16,4,5,1,1,0,327.75,Late delivery
179233,75918,2018-01-13,2018-01-17,3,15,2,4,2,1,0,327.75,Late delivery
179232,75917,2018-01-13,2018-01-16,3,15,2,3,1,0,1,327.75,Shipping canceled
179231,75916,2018-01-13,2018-01-15,3,15,2,2,0,0,1,327.75,Shipping canceled
179230,75915,2018-01-13,2018-01-19,3,15,2,6,4,1,0,327.75,Late delivery
179229,75914,2018-01-13,2018-01-18,3,15,2,5,3,1,0,327.75,Late delivery
179228,75913,2018-01-13,2018-01-17,4,14,4,4,0,0,1,327.75,Shipping on time
179227,75912,2018-01-13,2018-01-16,4,14,4,3,0,0,1,327.75,Advance shipping
179226,75911,2018-01-13,2018-01-15,4,14,4,2,0,0,1,327.75,Advance shipping
179225,75910,2018-01-13,2018-01-19,4,14,4,6,2,1,0,327.75,Late delivery
179224,75909,2018-01-13,2018-01-18,4,16,4,5,1,1,0,327.75,Late delivery
179223,75908,2018-01-13,2018-01-17,4,16,4,4,0,0,1,327.75,Shipping on time
179222,75907,2018-01-13,2018-01-15,1,14,1,2,1,1,0,327.75,Late delivery
179221,75906,2018-01-13,2018-01-15,1,14,1,2,1,1,0,327.75,Late delivery
179220,75905,2018-01-13,2018-01-15,1,17,1,2,1,1,0,327.75,Late delivery
179219,75904,2018-01-13,2018-01-15,1,16,1,2,1,1,0,327.75,Late delivery
179218,75903,2018-01-12,2018-01-14,1,15,1,2,1,1,0,327.75,Late delivery
179217,75902,2018-01-12,2018-01-13,2,15,0,1,1,1,0,327.75,Late delivery
179216,75901,2018-01-12,2018-01-13,2,15,0,1,1,0,1,327.75,Shipping canceled
179215,75900,2018-01-12,2018-01-13,2,17,0,1,1,1,0,327.75,Late delivery
179214,75899,2018-01-12,2018-01-13,2,17,0,1,1,1,0,327.75,Late delivery
179213,75898,2018-01-12,2018-01-16,4,17,4,4,0,0,1,327.75,Shipping on time
179212,75897,2018-01-12,2018-01-15,4,17,4,3,0,0,1,327.75,Advance shipping
179211,75896,2018-01-12,2018-01-14,4,15,4,2,0,0,1,327.75,Advance shipping
179210,75895,2018-01-12,2018-01-18,4,16,4,6,2,1,0,327.75,Late delivery
179209,75894,2018-01-12,2018-01-17,3,16,2,5,3,1,0,327.75,Late delivery
179208,75893,2018-01-12,2018-01-16,4,14,4,4,0,0,1,327.75,Shipping on time
71956,28744,2016-02-24,2016-02-29,3,16,2,5,3,1,0,119.98,Late delivery
113598,45461,2016-10-25,2016-10-27,3,18,2,2,0,0,1,79.98,Shipping on time
77757,31115,2016-03-30,2016-04-05,3,15,2,6,4,1,0,100.0,Late delivery
114401,45766,2016-10-30,2016-11-01,3,18,2,2,0,0,1,79.98,Shipping on time
119405,47752,2016-11-28,2016-12-01,3,14,2,3,1,1,0,100.0,Late delivery
125135,50054,2016-12-31,2017-01-05,3,18,2,5,3,1,0,100.0,Late delivery
50842,20365,2015-10-25,2015-10-31,3,16,2,6,4,1,0,100.0,Late delivery
90273,36146,2016-06-11,2016-06-13,3,23,2,2,0,0,1,89.98,Shipping on time
102921,41234,2016-08-24,2016-08-29,3,23,2,5,3,1,0,109.94,Late delivery
80250,32090,2016-04-13,2016-04-19,3,23,2,6,4,1,0,119.98,Late delivery
86866,34773,2016-05-22,2016-05-26,3,22,2,4,2,1,0,119.98,Late delivery
110025,44046,2016-10-04,2016-10-06,3,5,2,2,0,0,1,299.97,Shipping on time
116033,46414,2016-11-08,2016-11-13,3,1,2,5,3,1,0,119.97,Late delivery
116462,46599,2016-11-11,2016-11-16,3,5,2,5,3,1,0,65.97,Late delivery
121134,48434,2016-12-08,2016-12-13,3,3,2,5,3,1,0,95.97,Late delivery
32072,12827,2015-07-07,2015-07-10,3,9,2,3,1,1,0,299.97,Late delivery
159828,63936,2017-07-22,2017-07-24,3,9,2,2,0,0,1,299.97,Shipping on time
162548,65030,2017-08-07,2017-08-13,3,9,2,6,4,1,0,299.97,Late delivery
45253,18108,2015-09-22,2015-09-26,3,9,2,4,2,1,0,179.97,Late delivery
156394,62571,2017-07-02,2017-07-04,3,7,2,2,0,0,1,179.97,Shipping on time
42919,17162,2015-09-08,2015-09-11,3,7,2,3,1,1,0,179.97,Late delivery
164735,65922,2017-08-20,2017-08-23,3,9,2,3,1,1,0,179.97,Late delivery
159829,63936,2017-07-22,2017-07-24,3,9,2,2,0,0,1,150.0,Shipping on time
162007,64813,2017-08-04,2017-08-08,3,7,2,4,2,1,0,119.97,Late delivery
169747,67892,2017-09-18,2017-09-21,3,9,2,3,1,1,0,150.0,Late delivery
31344,12525,2015-07-02,2015-07-08,3,9,2,6,4,1,0,65.97,Late delivery
14664,5895,2015-03-28,2015-04-03,3,11,2,6,4,1,0,299.97,Late delivery
140970,56359,2017-04-02,2017-04-07,3,11,2,5,3,1,0,179.97,Late delivery
146701,58613,2017-05-05,2017-05-09,3,11,2,4,2,1,0,179.97,Late delivery
19564,7824,2015-04-25,2015-04-30,3,10,2,5,3,1,0,179.97,Late delivery
19544,7814,2015-04-25,2015-04-30,3,12,2,5,3,1,0,179.97,Late delivery
19542,7814,2015-04-25,2015-04-30,3,12,2,5,3,1,0,179.97,Late delivery
152161,60807,2017-06-06,2017-06-09,3,10,2,3,1,1,0,179.97,Late delivery
133456,53413,2017-02-18,2017-02-22,3,12,2,4,2,1,0,179.97,Late delivery
19707,7888,2015-04-26,2015-04-30,3,11,2,4,2,1,0,150.0,Late delivery
16956,6783,2015-04-10,2015-04-14,3,11,2,4,2,1,0,119.97,Late delivery
142502,56973,2017-04-11,2017-04-15,3,12,2,4,2,1,0,150.0,Late delivery
19563,7824,2015-04-25,2015-04-30,3,10,2,5,3,1,0,150.0,Late delivery
137932,55155,2017-03-16,2017-03-22,3,11,2,6,4,1,0,150.0,Late delivery
14921,5991,2015-03-29,2015-03-31,3,11,2,2,0,0,1,150.0,Shipping on time
5671,2263,2015-02-03,2015-02-07,3,11,2,4,2,1,0,150.0,Late delivery
5669,2263,2015-02-03,2015-02-07,3,11,2,4,2,1,0,150.0,Late delivery
133427,53403,2017-02-18,2017-02-22,3,11,2,4,2,1,0,150.0,Late delivery
128201,51298,2017-01-18,2017-01-22,3,12,2,4,2,1,0,119.97,Late delivery
12307,4919,2015-03-13,2015-03-18,4,12,4,5,1,1,0,250.0,Late delivery
131580,52640,2017-02-07,2017-02-13,4,12,4,6,2,1,0,199.95,Late delivery
15921,6358,2015-04-03,2015-04-07,4,12,4,4,0,0,1,199.95,Shipping on time
142841,57106,2017-04-13,2017-04-15,4,12,4,2,0,0,1,250.0,Advance shipping
15634,6245,2015-04-02,2015-04-08,4,12,4,6,2,1,0,250.0,Late delivery
130341,52166,2017-01-31,2017-02-02,4,10,4,2,0,0,1,150.0,Advance shipping
140494,56172,2017-03-30,2017-04-02,4,10,4,3,0,0,1,199.95,Advance shipping
139611,55829,2017-03-25,2017-03-30,4,10,4,5,1,1,0,250.0,Late delivery
131161,52478,2017-02-05,2017-02-09,4,11,4,4,0,0,1,250.0,Shipping on time
143183,57242,2017-04-15,2017-04-18,4,11,4,3,0,0,1,199.95,Advance shipping
7805,3137,2015-02-15,2015-02-18,4,11,4,3,0,0,1,250.0,Advance shipping
150464,60127,2017-05-27,2017-05-30,4,12,4,3,0,0,1,250.0,Advance shipping
9521,3828,2015-02-25,2015-03-01,4,11,4,4,0,0,1,199.95,Shipping on time
151122,60386,2017-05-31,2017-06-02,4,12,4,2,0,0,1,250.0,Advance shipping
2420,973,2015-01-15,2015-01-19,4,10,4,4,0,0,1,199.95,Shipping on time
145119,57999,2017-04-26,2017-05-01,4,11,4,5,1,1,0,250.0,Late delivery
136527,54585,2017-03-07,2017-03-13,4,12,4,6,2,1,0,250.0,Late delivery
144075,57598,2017-04-20,2017-04-24,4,10,4,4,0,0,1,250.0,Shipping on time
135699,54274,2017-03-03,2017-03-08,4,11,4,5,1,1,0,250.0,Late delivery
151869,60673,2017-06-04,2017-06-08,4,11,4,4,0,0,1,199.95,Shipping on time
148673,59387,2017-05-16,2017-05-19,4,11,4,3,0,0,1,250.0,Advance shipping
131577,52640,2017-02-07,2017-02-13,4,12,4,6,2,1,0,250.0,Late delivery
24992,10007,2015-05-27,2015-05-30,4,12,4,3,0,0,1,250.0,Advance shipping
139976,55984,2017-03-28,2017-04-02,4,11,4,5,1,1,0,239.95,Late delivery
131164,52478,2017-02-05,2017-02-09,4,11,4,4,0,0,1,159.95,Shipping on time
146090,58375,2017-05-02,2017-05-08,4,11,4,6,2,1,0,449.95,Late delivery
141192,56448,2017-04-03,2017-04-07,4,10,4,4,0,0,1,149.95,Shipping on time
20537,8221,2015-04-30,2015-05-02,4,12,4,2,0,0,1,299.95,Advance shipping
145203,58034,2017-04-27,2017-05-02,4,11,4,5,1,1,0,499.95,Late delivery
5525,2203,2015-02-02,2015-02-06,4,11,4,4,0,0,1,499.95,Shipping on time
132642,53069,2017-02-13,2017-02-18,4,12,4,5,1,1,0,499.95,Late delivery
150522,60146,2017-05-27,2017-05-29,4,11,4,2,0,0,1,499.95,Advance shipping
138585,55409,2017-03-19,2017-03-24,4,12,4,5,1,1,0,499.95,Late delivery
21674,8678,2015-05-07,2015-05-11,4,11,4,4,0,0,1,499.95,Shipping on time
19945,7980,2015-04-27,2015-05-03,4,11,4,6,2,1,0,499.95,Late delivery
143043,57185,2017-04-14,2017-04-20,4,11,4,6,2,1,0,499.95,Late delivery
21551,8636,2015-05-07,2015-05-09,4,12,4,2,0,0,1,499.95,Advance shipping
153077,61192,2017-06-12,2017-06-15,4,12,4,3,0,0,1,449.95,Advance shipping
139714,55876,2017-03-26,2017-03-28,4,11,4,2,0,0,1,299.95,Advance shipping
133251,53331,2017-02-17,2017-02-19,4,11,4,2,0,0,1,299.95,Advance shipping
129241,51725,2017-01-25,2017-01-31,4,11,4,6,2,1,0,299.95,Late delivery
131382,52562,2017-02-06,2017-02-09,4,12,4,3,0,0,1,299.95,Advance shipping
149532,59754,2017-05-22,2017-05-27,4,11,4,5,1,1,0,299.95,Late delivery
133893,53574,2017-02-21,2017-02-26,4,11,4,5,1,1,0,299.95,Late delivery
989,399,2015-01-06,2015-01-11,4,11,4,5,1,1,0,299.95,Late delivery
127587,51050,2017-01-15,2017-01-21,3,1,2,6,4,1,0,99.99,Late delivery
114171,45680,2016-10-28,2016-11-03,3,3,2,6,4,1,0,129.99,Late delivery
107395,42992,2016-09-19,2016-09-22,3,2,2,3,1,1,0,129.99,Late delivery
103114,41304,2016-08-25,2016-08-30,3,3,2,5,3,1,0,129.99,Late delivery
114173,45680,2016-10-28,2016-11-03,3,3,2,6,4,1,0,59.99,Late delivery
110494,44253,2016-10-07,2016-10-11,3,5,2,4,2,1,0,129.99,Late delivery
115235,46098,2016-11-03,2016-11-07,3,3,2,4,2,1,0,299.98,Late delivery
103115,41304,2016-08-25,2016-08-30,3,3,2,5,3,1,0,299.98,Late delivery
174392,71077,2017-11-03,2017-11-06,3,8,2,3,1,1,0,252.88,Late delivery
173018,69703,2017-10-14,2017-10-18,3,9,2,4,2,1,0,452.04,Late delivery
174427,71112,2017-11-04,2017-11-07,3,9,2,3,1,1,0,252.88,Late delivery
173125,69810,2017-10-16,2017-10-22,3,9,2,6,4,1,0,452.04,Late delivery
174407,71092,2017-11-03,2017-11-06,3,9,2,3,1,1,0,252.88,Late delivery
172925,69610,2017-10-13,2017-10-19,3,8,2,6,4,1,0,452.04,Late delivery
174315,71000,2017-11-02,2017-11-08,3,9,2,6,4,1,0,252.88,Late delivery
174049,70734,2017-10-29,2017-11-03,3,7,2,5,3,1,0,1500.0,Late delivery
172941,69626,2017-10-13,2017-10-15,3,9,2,2,0,0,1,452.04,Shipping on time
172797,69482,2017-10-11,2017-10-14,3,9,2,3,1,1,0,452.04,Late delivery
174084,70769,2017-10-30,2017-11-04,3,7,2,5,3,1,0,1500.0,Late delivery
172958,69643,2017-10-13,2017-10-17,3,8,2,4,2,1,0,452.04,Late delivery
174366,71051,2017-11-03,2017-11-05,3,7,2,2,0,0,1,252.88,Shipping on time
172723,69408,2017-10-10,2017-10-14,3,8,2,4,2,1,0,452.04,Late delivery
174438,71123,2017-11-04,2017-11-08,3,8,2,4,2,1,0,252.88,Late delivery
173849,70534,2017-10-26,2017-10-31,3,9,2,5,3,1,0,1500.0,Late delivery
172956,69641,2017-10-13,2017-10-15,3,8,2,2,0,0,1,452.04,Shipping on time
174275,70960,2017-11-01,2017-11-07,3,9,2,6,4,1,0,252.88,Late delivery
173223,69908,2017-10-17,2017-10-21,3,7,2,4,2,1,0,452.04,Late delivery
174272,70957,2017-11-01,2017-11-04,3,9,2,3,1,1,0,252.88,Late delivery
172952,69637,2017-10-13,2017-10-16,3,9,2,3,1,1,0,452.04,Late delivery
174270,70955,2017-11-01,2017-11-07,3,7,2,6,4,1,0,252.88,Late delivery
174234,70919,2017-11-01,2017-11-06,3,8,2,5,3,1,0,252.88,Late delivery
174324,71009,2017-11-02,2017-11-07,3,9,2,5,3,1,0,252.88,Late delivery
172968,69653,2017-10-13,2017-10-17,3,7,2,4,2,1,0,452.04,Late delivery
172842,69527,2017-10-11,2017-10-14,3,8,2,3,1,1,0,452.04,Late delivery
174395,71080,2017-11-03,2017-11-09,3,9,2,6,4,1,0,252.88,Late delivery
173859,70544,2017-10-26,2017-10-31,3,7,2,5,3,1,0,1500.0,Late delivery
172786,69471,2017-10-11,2017-10-13,3,7,2,2,0,0,1,452.04,Shipping on time
172188,68879,2017-10-02,2017-10-07,3,9,2,5,3,1,0,999.99,Late delivery
167987,67214,2017-09-08,2017-09-13,3,8,2,5,3,1,0,79.99,Late delivery
44493,17810,2015-09-17,2015-09-23,3,7,2,6,4,1,0,59.99,Late delivery
46997,18793,2015-10-02,2015-10-06,3,7,2,4,2,1,0,44.99,Late delivery
162715,65109,2017-08-08,2017-08-13,3,9,2,5,3,1,0,99.99,Late delivery
39186,15673,2015-08-17,2015-08-21,3,7,2,4,2,1,0,99.99,Late delivery
45455,18183,2015-09-23,2015-09-27,3,9,2,4,2,1,0,44.99,Late delivery
50536,20234,2015-10-23,2015-10-28,3,9,2,5,3,1,0,99.99,Late delivery
32867,13139,2015-07-11,2015-07-16,3,9,2,5,3,1,0,99.99,Late delivery
84424,33824,2016-05-08,2016-05-13,4,22,4,5,1,0,1,134.97,Shipping canceled
78398,31364,2016-04-02,2016-04-07,4,23,4,5,1,0,1,299.97,Shipping canceled
101052,40495,2016-08-14,2016-08-20,4,23,4,6,2,0,1,299.97,Shipping canceled
78396,31364,2016-04-02,2016-04-07,4,23,4,5,1,0,1,299.97,Shipping canceled
86191,34506,2016-05-18,2016-05-20,4,23,4,2,0,0,1,179.97,Shipping canceled
83892,33607,2016-05-05,2016-05-08,4,23,4,3,0,0,1,179.97,Shipping canceled
81596,32617,2016-04-21,2016-04-24,4,20,4,3,0,0,1,179.97,Shipping canceled
93579,37496,2016-07-01,2016-07-03,4,22,4,2,0,0,1,119.97,Shipping canceled
81595,32617,2016-04-21,2016-04-24,4,20,4,3,0,0,1,75.0,Shipping canceled
122703,49075,2016-12-17,2016-12-23,4,19,4,6,2,0,1,150.0,Shipping canceled
84425,33824,2016-05-08,2016-05-13,4,22,4,5,1,0,1,150.0,Shipping canceled
